,body
1538,"Megan, 

I have changed the pricing on deals 452491 and 452475 for October flows to 
mtr 25000200.  These flows should be priced at $.10 + 1/2 % fuel.  The $.11 
that Lone Star billed us is incorrect on the last deal.  I'm not sure about 
the rates for mtr 20014903.  The person who can tell us should be in 
tomorrow.  I will leave a note for her.  We should have similar deal tickets 
for Dec forward.  I will check with Mark and Trisha.

D


   
	Enron North America Corp.
	
	From:  Megan Parker @ ENRON                           02/26/2001 12:51 PM
	

To: Daren J Farmer/HOU/ECT@ECT
cc:  
Subject: Tenaska IV Transport 10/00

Have you been able to work out these transport pricing differences for Oct. 
2000?  We have only been able to pay $4,000.00 of the $28,000.00 invoice.  
The pricing for Nov. 2000 (deal 452491) has problems too.  We have $0.01 for 
11/3 at meter 20014804 and TXU is billing us $0.10 at meter 25000200 and 
$0.02 at meter 20014903 for the entire month.

I have also noticed that we are not accruing any transport for Dec 2000 
forward.  We have received the Dec. 2000 invoice from TXU, but we do not have 
a deal to pay them.  We should be getting Jan. 2001 next week.  Is there a 
deal for these months?  

Megan
---------------------- Forwarded by Megan Parker/Corp/Enron on 02/26/2001 
12:28 PM ---------------------------
   
	
	
	From:  Megan Parker                           01/05/2001 04:12 PM
	

To: Daren J Farmer/HOU/ECT@ECT
cc:  

Subject: Tenaska IV Transport 10/00

I took a look at the transport for TXU Lone Star for Tenaska IV for 10/00.  
We mostly have price differences, but one deal needs some days added.  Let me 
know if you need copies of the invoices.  The meters below are delivery 
meters.  I wasn't sure what the receipt meters would be.

Deal 452491, Meter 20014903  Need to add days 24-26 and 28-31 
     Need to check rate - We show $0.01 and we were billed $0.02

Deal 452491, Meter 25000200  Need to check rate - We show $0.02 and we were 
billed $0.10

Deal 452475, Meter 25000200  Need to check rate - We show prices from $0.005 
to $0.02
      and we were billed $0.11

Thanks,
Megan



"
1539,"My thought is that the Enron contract is probably going away anyhow so that it makes sense to set this up for Jan 1.  I think the charges should be recorded to the balancing tools account.  

 -----Original Message-----
From: 	Cady, Rachel  
Sent:	Tuesday, December 11, 2001 8:27 AM
To:	Corman, Shelley; Lokey, Teb
Subject:	Gas Daily Table
Importance:	High

I finally got a price quote of $1990 per year on a package deal for one user.  Platts doesn't sell the data without a subsciption to the daily publication. The package includes the daily issues and data(table) and back issues and data. 

Please let me know if you want me to go ahead and sign up for this package. I'll have to let Platts know the user's name and billing information etc...

Thanks.
"
1540,"FYI.  Just to keep ya'll in the loop.  This fix should be ready for test on Monday
and migrated Monday night for Tuesday's use.  This fix will be very beneficial
in minimizing Shipper imbalances on NNG.  Terry and Gerry will work with the teams
to be sure everyone is up to speed on the change.  If you have any questions while I
am out next week, please check with Terry Kowalke or Mike Bodnar.   Thanks. Lynn
---------------------- Forwarded by Lynn Blair/ET&S/Enron on 06/17/2001 04:50 PM ---------------------------
   
	  From:  John Buchanan                           06/15/2001 03:28 PM	
		


To:	Gerry Medeles/ENRON@enronXgate
cc:	Steven January/ENRON@enronXgate, Lynn Blair/ET&S/Enron@ENRON, Hasan Kedwaii/ENRON@enronXgate, Jill Setera/ENRON@enronXgate, Maggie Matheson/ENRON@enronXgate, Sue Neville/ENRON@enronXgate, Brad Holmes/ENRON@enronXgate, Michael Bodnar/ET&S/Enron@ENRON, Reyna Cabrera/ET&S/Enron, Terry Kowalke/ET&S/Enron@ENRON 

Subject:	Re: FW: Storage allocations   

Per: Lynn Blair
Moving the storage allocation to before confirmations will be made only to the ID/2 cycle. 


Thanks: John Buchanan


From:	Gerry Medeles/ENRON@enronXgate on 06/15/2001 03:17 PM
To:	Steven January/ENRON@enronXgate, Lynn Blair/ET&S/Enron@ENRON, Hasan Kedwaii/ENRON@enronXgate, Jill Setera/ENRON@enronXgate, John Buchanan/ET&S/Enron@ENRON, Maggie Matheson/ENRON@enronXgate, Sue Neville/ENRON@enronXgate
cc:	Brad Holmes/ENRON@enronXgate 

Subject:	FW: Storage allocations

FYI, with regards to item (3) below:
SBS will remain off after storage allocations are completed.  This will be a slight change for our customers.  Currently during the processes for example, the evening process, SBS is available during the Rollover, Allocation and Confirmation process, and turned off during the Storage Allocation process.  With this change SBS will only be available during the Rollover and Allocation process and remain off during the Storage Allocation and Confirmation process, if a storage allocation is necessary.  I am unsure how you would want to communicate this to your customers.  

Also, Jill will be working on these changes over the weekend, and have Joe confirm her change by Monday the 18th.  Changes should be available for production by Tuesday the 19th.

 -----Original Message-----
From: 	Kedwaii, Hasan  
Sent:	Friday, June 15, 2001 12:52 PM
To:	Setera, Jill
Cc:	Matheson, Maggie; Medeles, Gerry
Subject:	Storage allocations

Jill,
Lynn and Steve January want to change the storage allocation from after confirmation to after regular allocations during all cycles except timely (for the timely cycle it storage allocations will be after confirmations).

I looked at the code and it seemed to be pretty self contained module.  But a few things to look out for:

1) Process for saving to the database
	- after allocations
	- after storage allocations
	- after confirmations
2) rollback of allocations to include storage
3) SBS - currently it turned off for the storage allocation process.  How does it get turned back on?  Business group has to make a decision on how whether SBS needs to turned on or off for the confirmation process

Please let maggie or gerry know the time estimate.

Thanx






<Embedded StdOleLink>
"
1541,"Kim, The attached reflects NNG Marketing's allocation %'s for capital and allocations to TW.  The only thing I know of that will change is the Pricing desk.  Jo has ask me to get with you and Sean/Richard to determine what a fair allocation would be.  I am out for the rest of the year after today.  Can we review and determine any changes after the 1st?  I also had a summary of the kinds of things each of the teams were doing for TW but I can't seem to get my hands on it right now.  I'll look some more and maybe I'll have it for our discussion.

 

Dana L. Jones
NNG Commercial Support
713-853-5787
"
1542,"

Start Date: 12/27/01; HourAhead hour: 12;  No ancillary schedules awarded.  No variances detected. 

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\WestDesk\California Scheduling\ISO Final Schedules\2001122712.txt
"
1543,"Just kidding with you.  Hope your hand is getting better.  See you on Monday.

Susan





Kimberly Bates
04/19/2001 08:52 AM
To: Susan W Pereira/HOU/ECT@ECT
cc:  
Subject: Re: Pete Keavy  

not to mention only having one hand to type with

"
1544,"CALENDAR ENTRY:	APPOINTMENT

Description:
	Ava-35842/Market Services Council Mtg. conference room 42C2

Date:		8/23/2001
Time:		10:30 AM - 12:00 PM (Central Standard Time)

Chairperson:	Outlook Migration Team

Detailed Description:
"
1545,"Lynn, do you have any more of these pens.  If so, could you send me 7 or 8.  If not I'll just order them.

TK

-----Original Message-----
From: Walker, Scott [mailto:swalker@sidrichgas.com]
Sent: Tuesday, November 20, 2001 4:31 PM
To: T. K. Lohman (E-mail)
Subject: Pens


I received a pen at your meeting in Houston a couple of weeks ago and had
received a pen that lights up.  The guys over here have been bugging me to
find out if you have anymore available.  If not do not worry about it. 

Thanks
Scott

P.S. When does Lorraine return to work
"
1546,"Please see attached.

 <<BD-#397610-v1-ISDA_Master_Agreement_Protocol.DOC>>


_____________________________________________________________________
CONFIDENTIALITY NOTICE

The contents of this e-mail are confidential to the ordinary user of
the e-mail address to which it was addressed and may also be
privileged.  If you are not the addressee of this e-mail you may not
copy, forward, disclose or otherwise use it or any part of it in any
form whatsoever.  If you have received this e-mail in error please
e-mail the sender by replying to this message.

A list of the partners of Norton Rose, Solicitors, can be inspected at
www.nortonrose.com
______________________________________________________________________

 - BD-#397610-v1-ISDA_Master_Agreement_Protocol.DOC 
"
1547,"Hope you and Gracie are having a good day!!  I miss you guys.  California is a difficult State to understand.  Things are crazy.

Jim
"
1548,"Hi 
  How about Tuesday at 1130 ( I'm meeting with all Enron power traders on 
Tuesday at 400 to explain the EEI contract - oh boy, that will be a blast).
If that doesn't work I can also play on Wed.
See ya
"
1549,"not after today

 -----Original Message-----
From: 	Shankman, Jeffrey A.  
Sent:	Tuesday, June 12, 2001 10:23 AM
To:	Arnold, John
Subject:	

Is lavorato going to buy you a vacheron?
"
1550,"
Ben, as discussed,  please move the four Ercot lines to the front page for the listed people below.       Also,  to the extent possible,   add the E lines.

These guys are prioritized as follows:

John Forney
Eric Saibi
Steve Olinde
Joe Capasso (new to group)
Alex McElreath
Jeff Miller
Smith Day
Joe Errigo

"
1551,"I will take this opportunity to hit the people on the list with my info as well, although it looks like some incarnation of the wind company will continue.

Michael A. Payne

mpayne1997@kellogg.nwu.edu
h 713-426-2598
w 713-646-9690



 -----Original Message-----
From: 	Mainzer, Elliot  
Sent:	Monday, December 03, 2001 12:46 PM
To:	Neuner, Kirk; Payne, Michael; Vann, Suzanne; Ward, Kim S (Houston); Lande, Kristian; Lande, Monica; McDonald, Rob; Soo, Jeffrey A.; Bolton, Stacey; Ring, Richard; Jacobson, Lisa; Thome, Jennifer
Subject:	Stay in Touch

I'm still holding on by a thin thread here in Portland, but I wanted to send you my vitals as I'm experiencing advanced symptoms of the travel bug. Needless to say, you're one of the major reasons I have no regrets about having worked at Enron. Definitely stay in touch.

Elliot

Elliot Mainzer
2797 SW Greenway Ave.
Portland, OR  97201
(503) 227-8531
emainzer@home.com

"
1552,"I've rescheduled room 5G in Houston for Nov. 2.

Amy - will you reschedule the room in NY? Let me know and I will change the
video calendar.

Steve Ellis
Regional Technology Manager
Goldman Sachs Houston 
713.654.8489


-----Original Message-----
From: Stacy Carey [mailto:SCAREY@ISDA.ORG]
Sent: Friday, October 19, 2001 10:10 AM
To: Bunkin, Steven
Cc: Ruth Ainslie; Stacy Carey; Scott Marra; Janette Elberton; Mark
Haedicke; Mark Taylor; 'Sager, Elizabeth'
Subject: Rescheduled ISDA Energy and Developing Products Committee
Meeting on October 23


Hello All -- unfortunately we have had to reschedule the October 23, 2001
meeting to Friday, November 2, 2001.  

Bob and Amy -- could we graciously impose upon Goldman again to see if the
video conferencing facilities might be available on Nov. 2 from 11:00 a.m. -
12:30 p.m. (EST)/10:00 - 11:30 a.m.(Central)

Many thanks! -- Stacy

Stacy Carey
Policy Director 
International Swaps and Derivatives Association
600 5th Avenue, 27th Floor
Rockefeller Center
New York, NY  10020
(212) 332-1202 ph
(212) 332-1212 fax
(917) 543-9622 cell
scarey@isda.org



-----Original Message-----
From: Siedenburg, Amy [mailto:amy.siedenburg@gs.com]
Sent: Wednesday, September 26, 2001 11:59 AM
To: 'Stacy Carey'
Cc: Ellis, Steve (Houston)
Subject: RE: ISDA Energy and Developing Products Committee Meeting -
October


the only room available in ny w/ video capability is 32 old slip room 23B1 -
it holds 12 people. thats all i could do
in houston the room is 5c

the call in #s are
Domestic:  1-877-718-6588 -passcode 20952
International:  212-902-0992- Passcode 2-0952

let me know if you need anything else

-----Original Message-----
From: Stacy Carey [mailto:SCAREY@ISDA.ORG]
Sent: Tuesday, September 25, 2001 11:58 AM
To: Amy Siedenburg
Subject: RE: ISDA Energy and Developing Products Committee Meeting -
October


Amy -- We should plan on about 15-20 people in each location based on the
July 27 meeting.  We will need a call-in number for domestic and
international, if possible.  -- Many thanks! -- Stacy

-----Original Message-----
From: Siedenburg, Amy [mailto:amy.siedenburg@gs.com]
Sent: Tuesday, September 25, 2001 11:59 AM
To: 'Stacy Carey'
Subject: RE: ISDA Energy and Developing Products Committee Meeting -
October


how many people will be attending in ny and in houston
also, will you need a call in #

-----Original Message-----
From: Stacy Carey [mailto:SCAREY@ISDA.ORG]
Sent: Tuesday, September 25, 2001 9:22 AM
To: Bob Mancini; Amy Siedenburg
Cc: Bunkin, Steven; Stacy Carey
Subject: RE: ISDA Energy and Developing Products Committee Meeting -
October


thank you -- stacy

-----Original Message-----
From: Mancini, Robert [mailto:robert.mancini@gs.com]
Sent: Monday, September 24, 2001 7:26 PM
To: 'amy.siedenburg@gs.com'
Cc: Bunkin, Steven; 'scarey@isda.org'
Subject: Fw: ISDA Energy and Developing Products Committee Meeting -
October


Please inquire asap
--------------------------
Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)


-----Original Message-----
From: Stacy Carey <SCAREY@ISDA.ORG>
To: Bob Mancini <robert.mancini@gs.com>; 'STEVEN BUNKIN'
<steven.bunkin@gs.com>; Amy Siedenburg <amy.siedenburg@gs.com>
Sent: Mon Sep 24 15:01:20 2001
Subject: ISDA Energy and Developing Products Committee Meeting - October

Hello All -- hope everyone is well!  We are thinking of scheduling the next
Energy and Developing Products Committee meeting on October 23 from 10:00 -
Noon and was wondering if your video conferencing facilities might be
available for this meeting in NY and Houston? Many Thanks -- Stacy

Stacy Carey
Policy Director 
International Swaps and Derivatives Association
600 5th Avenue, 27th Floor
Rockefeller Center
New York, NY  10020
(212) 332-1202 ph
(212) 332-1212 fax
(917) 543-9622 cell
scarey@isda.org
"
